
2022/11/03 (13:21:37) | ===> btop++ v.1.2.12
2022/11/03 (13:21:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/03 (20:03:16) | ===> btop++ v.1.2.12
2022/11/03 (20:03:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/04 (10:15:51) | ===> btop++ v.1.2.12
2022/11/04 (10:15:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/05 (00:27:22) | ===> btop++ v.1.2.12
2022/11/05 (00:27:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/05 (00:53:12) | ===> btop++ v.1.2.12
2022/11/05 (00:53:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/05 (19:03:12) | ===> btop++ v.1.2.12
2022/11/05 (19:03:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/06 (11:21:14) | ===> btop++ v.1.2.12
2022/11/06 (11:21:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/06 (15:29:12) | ===> btop++ v.1.2.12
2022/11/06 (15:29:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/08 (16:08:47) | ===> btop++ v.1.2.12
2022/11/08 (16:08:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/17 (09:39:38) | ===> btop++ v.1.2.13
2022/11/17 (09:39:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/18 (08:55:41) | ===> btop++ v.1.2.13
2022/11/18 (08:55:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/18 (11:32:38) | ===> btop++ v.1.2.13
2022/11/18 (11:32:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/21 (19:30:57) | ===> btop++ v.1.2.13
2022/11/21 (19:30:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/25 (17:12:38) | ===> btop++ v.1.2.13
2022/11/25 (17:12:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/25 (19:11:38) | ===> btop++ v.1.2.13
2022/11/25 (19:11:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/25 (19:12:02) | ===> btop++ v.1.2.13
2022/11/25 (19:12:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/27 (14:19:11) | ===> btop++ v.1.2.13
2022/11/27 (14:19:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/02 (01:31:17) | ===> btop++ v.1.2.13
2022/12/02 (01:31:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/08 (20:19:50) | ===> btop++ v.1.2.13
2022/12/08 (20:19:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/08 (22:22:23) | ===> btop++ v.1.2.13
2022/12/08 (22:22:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/09 (00:14:25) | ===> btop++ v.1.2.13
2022/12/09 (00:14:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/16 (23:41:14) | ===> btop++ v.1.2.13
2022/12/16 (23:41:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/17 (20:23:47) | ===> btop++ v.1.2.13
2022/12/17 (20:23:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/25 (00:21:30) | ===> btop++ v.1.2.13
2022/12/25 (00:21:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/25 (23:49:22) | ===> btop++ v.1.2.13
2022/12/25 (23:49:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/31 (20:01:40) | ===> btop++ v.1.2.13
2022/12/31 (20:01:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/12/31 (21:21:58) | ===> btop++ v.1.2.13
2022/12/31 (21:21:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/01 (17:04:57) | ===> btop++ v.1.2.13
2023/01/01 (17:04:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/01 (18:25:36) | ===> btop++ v.1.2.13
2023/01/01 (18:25:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/01 (23:14:24) | ===> btop++ v.1.2.13
2023/01/01 (23:14:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/02 (13:46:17) | ===> btop++ v.1.2.13
2023/01/02 (13:46:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/02 (15:22:48) | ===> btop++ v.1.2.13
2023/01/02 (15:22:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/03 (14:08:54) | ===> btop++ v.1.2.13
2023/01/03 (14:08:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/04 (13:09:38) | ===> btop++ v.1.2.13
2023/01/04 (13:09:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/04 (14:50:32) | ===> btop++ v.1.2.13
2023/01/04 (14:50:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/05 (14:01:30) | ===> btop++ v.1.2.13
2023/01/05 (14:01:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/05 (18:37:39) | ===> btop++ v.1.2.13
2023/01/05 (18:37:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/08 (18:37:07) | ===> btop++ v.1.2.13
2023/01/08 (18:37:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/09 (12:04:22) | ===> btop++ v.1.2.13
2023/01/09 (12:04:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/10 (11:25:42) | ===> btop++ v.1.2.13
2023/01/10 (11:25:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/10 (18:08:20) | ===> btop++ v.1.2.13
2023/01/10 (18:08:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/11 (17:55:56) | ===> btop++ v.1.2.13
2023/01/11 (17:55:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2023/01/11 (18:30:14) | ===> btop++ v.1.2.13
2023/01/11 (18:30:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

